Channel,ROI Median,mROI Median,Status
GOOGLE_DISPLAY,2.5373178720474243,0.8745281100273132,Over-invested
META_FACEBOOK,3.3174381256103516,2.3229756355285645,Under-invested
META_INSTAGRAM,2.084299087524414,1.5705127120018005,Under-invested
META_OTHER,4.97102427482605,2.594647765159607,Under-invested
