TERRITORY_NAME,GOOGLE_PAID_SEARCH,GOOGLE_DISPLAY,META_FACEBOOK,META_INSTAGRAM,META_OTHER
UK,84856.85,57980.82,4916769.6,1379157.25,18786.06
US,13576.27,55449.27,3776218.9,2052001.72,5927.82
