channel,metric,spend,pct_of_spend,incremental_outcome,pct_of_contribution,effectiveness,roi,mroi,cpik
GOOGLE_DISPLAY,mean,90000.0,0.008910891,253856.15625,0.5124873518943787,2.349961042404175,2.820296049118042,1.0765029191970825,1.465354561805725
GOOGLE_DISPLAY,median,90000.0,0.008910891,233731.21875,0.47189396619796753,2.163797378540039,2.597013473510742,0.9099218845367432,0.4129413962364197
GOOGLE_DISPLAY,ci_lo,90000.0,0.008910891,18497.02734375,0.03734475374221802,0.17123864591121674,0.20552252233028412,0.11607421934604645,0.1700051873922348
GOOGLE_DISPLAY,ci_hi,90000.0,0.008910891,529395.625,1.0688285827636719,4.900949001312256,5.882173538208008,2.3699305057525635,4.865646839141846
META_FACEBOOK,mean,7460000.0,0.73861384,22447774.0,45.31937026977539,2.516235828399658,3.0090765953063965,2.129122495651245,0.35415488481521606
META_FACEBOOK,median,7460000.0,0.73861384,24745710.0,49.960594177246094,2.7735090255737305,3.3171191215515137,2.3221983909606934,0.30152642726898193
META_FACEBOOK,ci_lo,7460000.0,0.73861384,14106446.0,28.480348587036133,1.581055998802185,1.890944480895996,1.2001206874847412,0.2847767770290375
META_FACEBOOK,ci_hi,7460000.0,0.73861384,26195956.0,52.88858413696289,2.9360530376434326,3.5115222930908203,2.6723592281341553,0.5288362503051758
META_INSTAGRAM,mean,2530000.0,0.25049505,6002710.0,12.119097709655762,2.3565189838409424,2.372971534729004,1.76591157913208,0.830152153968811
META_INSTAGRAM,median,2530000.0,0.25049505,5275156.0,10.650327682495117,2.071016311645508,2.0850419998168945,1.5716007947921753,0.5204184651374817
META_INSTAGRAM,ci_lo,2530000.0,0.25049505,1220114.375,2.4633617401123047,0.4790146052837372,0.4822586476802826,0.32944169640541077,0.2066674828529358
META_INSTAGRAM,ci_hi,2530000.0,0.25049505,12241887.0,24.715877532958984,4.8061418533325195,4.838690280914307,3.5907509326934814,2.0735762119293213
META_OTHER,mean,20000.0,0.001980198,110850.921875,0.22378654778003693,7.106714725494385,5.5423102378845215,3.1359920501708984,0.1852162629365921
META_OTHER,median,20000.0,0.001980198,106338.859375,0.21469390392303467,6.817904472351074,5.316943168640137,2.8728513717651367,0.18809892237186432
META_OTHER,ci_lo,20000.0,0.001980198,89761.078125,0.1812240183353424,5.755022048950195,4.488053798675537,2.244140625,0.14190641045570374
META_OTHER,ci_hi,20000.0,0.001980198,140937.953125,0.2845480442047119,9.036221504211426,7.046897888183594,4.554765701293945,0.22281372547149658
