channel,metric,spend,pct_of_spend,incremental_outcome,pct_of_contribution,effectiveness,roi,mroi,cpik
GOOGLE_DISPLAY,mean,50000.0,0.004955401,197008.0,0.3966415822505951,1.8237948417663574,3.940016984939575,1.879065752029419,1.1456869840621948
GOOGLE_DISPLAY,median,50000.0,0.004955401,184773.78125,0.3720071315765381,1.7105674743652344,3.6954755783081055,1.647890567779541,0.29403966665267944
GOOGLE_DISPLAY,ci_lo,50000.0,0.004955401,12913.9765625,0.025999855250120163,0.11955282092094421,0.2582795321941376,0.16872656345367432,0.12328270822763443
GOOGLE_DISPLAY,ci_hi,50000.0,0.004955401,405571.875,0.816542387008667,3.7546346187591553,8.111437797546387,4.051875114440918,3.871774196624756
META_FACEBOOK,mean,8160000.0,0.8087215,23908114.0,48.13087463378906,2.6792068481445312,2.929511308670044,2.0262930393218994,0.3644247055053711
META_FACEBOOK,median,8160000.0,0.8087215,26335322.0,53.02119827270508,2.9516732692718506,3.227367877960205,2.2080392837524414,0.30986326932907104
META_FACEBOOK,ci_lo,8160000.0,0.8087215,14923427.0,30.045503616333008,1.672623634338379,1.828851342201233,1.1271445751190186,0.29109713435173035
META_FACEBOOK,ci_hi,8160000.0,0.8087215,28031880.0,56.43689727783203,3.141824245452881,3.435279369354248,2.562230348587036,0.5467913150787354
META_INSTAGRAM,mean,1850000.0,0.18334985,4714464.5,9.491246223449707,1.850789189338684,2.547884941101074,2.0272159576416016,0.7655060887336731
META_INSTAGRAM,median,1850000.0,0.18334985,4131028.0,8.317045211791992,1.6218338012695312,2.232987880706787,1.794743299484253,0.4866272211074829
META_INSTAGRAM,ci_lo,1850000.0,0.18334985,975470.4375,1.9639256000518799,0.38296785950660706,0.5272813439369202,0.3910878300666809,0.1923271268606186
META_INSTAGRAM,ci_hi,1850000.0,0.18334985,9619028.0,19.36609649658203,3.77641224861145,5.199474811553955,4.127892017364502,1.8965208530426025
META_OTHER,mean,30000.0,0.0029732408,137571.25,0.27695950865745544,8.819710731506348,4.585659980773926,2.27079701423645,0.22508515417575836
META_OTHER,median,30000.0,0.0029732408,129127.578125,0.25997400283813477,8.279001235961914,4.304252624511719,2.0786588191986084,0.2324920892715454
META_OTHER,ci_lo,30000.0,0.0029732408,111397.765625,0.22427837550640106,7.142255783081055,3.713258743286133,1.4766145944595337,0.1660885214805603
META_OTHER,ci_hi,30000.0,0.0029732408,180626.578125,0.36365750432014465,11.580853462219238,6.020885944366455,3.449791669845581,0.2693052291870117
